* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
145.665098	105.863676
146.720647	105.831991
147.783845	105.804782
148.854748	105.772460
149.933411	105.738459
151.019890	105.705924
152.114242	105.678739
153.216525	105.651554
154.326795	105.623991
155.445111	105.590013
156.571530	105.556032
157.706112	105.516264
158.848915	105.470930
160.000000	105.425596
161.159426	105.380260
162.327254	105.334924
163.503544	105.323555
164.688358	105.318009
165.881758	105.284002
167.083805	105.256133
168.294563	105.226809
169.514095	105.192779
170.742464	105.158802
171.979734	105.124821
173.225970	105.090821
174.481237	105.056804
175.745600	105.022780
177.019125	104.988811
178.301879	104.959567
179.593928	104.932322
180.895339	104.905158
182.206182	104.877961
183.526523	104.850716
184.856431	104.827831
186.195977	104.805096
187.545230	104.782498
188.904260	104.758292
190.273138	104.724293
191.651936	104.690317
193.040725	104.656324
194.439578	104.618631
195.848567	104.573300
197.267766	104.527969
198.697250	104.482636
200.137092	104.443183
201.587368	104.410861
203.048153	104.383670
204.519524	104.359502
206.001557	104.336801
207.494329	104.316639
208.997918	104.297190
210.512403	104.273570
212.037863	104.246322
213.574377	104.212671
215.122025	104.178683
216.680888	104.147507
218.251047	104.120283
219.832584	104.093121
221.425581	104.064236
223.030122	104.030210
224.646290	103.996241
226.274170	103.962255
227.913846	103.931226
229.565404	103.903998
231.228929	103.876838
232.904509	103.850812
234.592231	103.828176
236.292183	103.803849
238.004454	103.776636
239.729132	103.749468
241.466308	103.720945
243.216073	103.686932
244.978517	103.652960
246.753732	103.623411
248.541811	103.596457
250.342848	103.573854
252.156935	103.551137
253.984168	103.528518
255.824642	103.505816
257.678453	103.483181
259.545697	103.460493
261.426473	103.437843
263.320877	103.410035
265.229008	103.377263
267.150967	103.350085
269.086853	103.322896
271.036767	103.295691
273.000811	103.273097
274.979088	103.249882
276.971700	103.222719
278.978751	103.197892
281.000346	103.175214
283.036590	103.149755
285.087590	103.122279
287.153452	103.088305
289.234284	103.059530
291.330195	103.032293
293.441294	103.005116
295.567690	102.977927
297.709496	102.950670
299.866821	102.923527
302.039780	102.898222
304.228485	102.875561
306.433050	102.852897
308.653590	102.830220
310.890221	102.804786
313.143060	102.777531
315.412224	102.750384
317.697831	102.723177
320.000000	102.695948
322.318852	102.672676
324.654507	102.649944
327.007088	102.627344
329.376716	102.604611
331.763515	102.582010
334.167610	102.558634
336.589127	102.531464
339.028190	102.504270
341.484928	102.477019
343.959469	102.449873
346.451941	102.422660
348.962474	102.395442
351.491200	102.368277
354.038251	102.342713
356.603758	102.323340
359.187855	102.303827
361.790679	102.281253
364.412363	102.258526
367.053045	102.235918
369.712863	102.213206
372.391955	102.190582
375.090460	102.167884
377.808521	102.145245
380.546277	102.120832
383.303872	102.093615
386.081450	102.066449
388.879155	102.040163
391.697134	102.017536
394.535533	101.996574
397.394500	101.979631
400.274184	101.962565
403.174736	101.941253
406.096306	101.918535
409.039048	101.895922
412.003113	101.873188
414.988657	101.850590
417.995836	101.827595
421.024807	101.800442
424.075726	101.773239
427.148753	101.746004
430.244049	101.725754
433.361775	101.706288
436.502093	101.690774
439.665167	101.677216
442.851162	101.663559
446.060244	101.649211
449.292581	101.634148
452.548340	101.618975
455.827692	101.599058
459.130807	101.576361
462.457858	101.553730
465.809019	101.531017
469.184463	101.511101
472.584367	101.491641
476.008908	101.472232
479.458265	101.452803
482.932617	101.435045
486.432146	101.419993
489.957033	101.404832
493.507464	101.391756
497.083623	101.380493
500.685695	101.369150
504.313870	101.357724
507.968337	101.347080
511.649285	101.336682
515.356906	101.326208
519.091395	101.315658
522.852945	101.303317
526.641753	101.289765
530.458016	101.276114
534.301934	101.262499
538.173706	101.248964
542.073534	101.235330
546.001623	101.221679
549.958175	101.208160
553.943399	101.194543
557.957501	101.180855
562.000691	101.167353
566.073180	101.153753
570.175180	101.140055
574.306904	101.129431
578.468569	101.119018
582.660390	101.108531
586.882588	101.097967
591.135381	101.088168
595.418991	101.078519
599.733643	101.068800
604.079560	101.059011
608.456970	101.049261
612.866100	101.039642
617.307180	101.029954
621.780442	101.020196
626.286120	101.010367
630.824447	101.019710
635.395661	101.031003
640.000000	101.042377
644.637704	101.051810
649.309014	101.043931
654.014175	101.035994
658.753431	101.028000
663.527030	101.019948
668.335221	101.011837
673.178253	101.004978
678.056380	100.998601
682.969856	100.992178
687.918938	100.985708
692.903882	100.979191
697.924949	100.972627
702.982401	100.966572
708.076501	100.970968
713.207515	100.975397
718.375711	100.979858
723.581357	100.984351
728.824726	100.988877
734.106091	100.993435
739.425726	100.998026
744.783910	101.002651
750.180921	101.007309
755.617041	101.012008
761.092554	101.016746
766.607744	101.021519
772.162900	101.026326
777.758310	101.031168
783.394268	101.036045
789.071066	101.040958
794.789000	101.045906
800.548368	101.050890
806.349472	101.063643
812.192613	101.080628
818.078095	101.097170
824.006226	101.109433
829.977315	101.121785
835.991673	101.134226
842.049613	101.145370
848.151452	101.155761
854.297507	101.166227
860.488099	101.176768
866.723550	101.188185
873.004186	101.200482
879.330334	101.212868
885.702324	101.225425
892.120489	101.244770
898.585161	101.264255
905.096680	101.281706
911.655384	101.298708
918.261614	101.315275
924.915716	101.330312
931.618037	101.345458
938.368925	101.361345
945.168733	101.378299
952.017816	101.395376
958.916529	101.417203
965.865234	101.439937
972.864291	101.462535
979.914067	101.485515
987.014928	101.512668
994.167245	101.539872
1001.371391	101.567106
1008.627741	101.594262
1015.936673	101.623503
1023.298569	101.657346
1030.713812	101.684494
1038.182790	101.714707
1045.705890	101.748728
1053.283506	101.782737
1060.916032	101.810545
1068.603867	101.837766
1076.347412	101.864970
1084.147069	101.897132
1092.003245	101.931134
1099.916351	101.965154
1107.886798	101.999168
1115.915003	102.043659
1124.001383	102.088745
1132.146360	102.122717
1140.350359	102.165257
1148.613808	102.196022
1156.937137	102.224720
1165.320781	102.258739
1173.765175	102.292709
1182.270762	102.334395
1190.837983	102.371483
1199.467286	102.410674
1208.159120	102.456007
1216.913939	102.513918
1225.732199	102.561085
1234.614360	102.606785
1243.560885	102.666101
1252.572239	102.711433
1261.648894	102.767627
